date,subject,semester,unit,question_no,correct,memo
2026-03-26 00:07,国語,二学期,大造じいさんとガン（物語）,4,1,
2026-03-26 06:07,算数,三学期,速さ（距離・時間・単位換算）,5,0,km/時 → m/分の換算ミス
2026-03-26 07:07,算数,一学期,体積（直方体・立方体・複合図形）,7,1,
2026-03-26 07:07,社会,一学期,国土の気候（6区分・雨温図）,10,0,雨温図から気候区分を見分けるのが難しい
2026-03-26 09:07,英語,三学期,Unit8 尊敬する人・将来の夢,4,1,
2026-03-27 03:07,社会,一学期,国土の気候（6区分・雨温図）,1,1,
2026-03-27 04:07,算数,一学期,小数のわり算,8,1,
2026-03-27 08:07,算数,三学期,速さ（距離・時間・単位換算）,4,0,出会い問題で速さの和を使い忘れた
2026-03-27 10:07,国語,二学期,大造じいさんとガン（物語）,3,1,
2026-03-28 00:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,4,1,
2026-03-28 02:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,12,1,
2026-03-28 04:07,算数,一学期,体積（直方体・立方体・複合図形）,9,0,単位換算（m³とcm³）
2026-03-28 10:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,5,0,食塩とミョウバンの違いを逆に覚えていた
2026-03-28 10:07,英語,二学期,Unit5 He/She can・人物紹介,12,0,She are → She isに修正できなかった
2026-03-28 11:07,算数,三学期,速さ（距離・時間・単位換算）,6,0,km/時 → m/分の換算ミス
2026-03-28 23:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,2,1,
2026-03-29 04:07,算数,一学期,体積（直方体・立方体・複合図形）,1,1,
2026-03-29 06:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,2,1,
2026-03-29 06:07,社会,一学期,国土の気候（6区分・雨温図）,6,1,
2026-03-29 09:07,算数,二学期,整数の性質（偶奇・倍数・約数・素数）,5,1,
2026-03-29 10:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,1,0,食塩とミョウバンの違いを逆に覚えていた
2026-03-29 11:07,理科,三学期,もののとけ方（溶解度・再結晶・ろ過）,11,1,
2026-03-29 11:07,英語,三学期,Unit8 尊敬する人・将来の夢,1,0,I want to be a/an の使い分け
2026-03-29 23:07,理科,一学期,植物の発芽と成長（対照実験）,4,1,
2026-03-30 00:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,5,1,
2026-03-30 05:07,算数,一学期,体積（直方体・立方体・複合図形）,10,1,
2026-03-30 06:07,社会,三学期,自動車をつくる工業（工程・JIT）,7,1,
2026-03-30 08:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,10,0,参るの用法を間違えた
2026-03-30 10:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,8,1,
2026-03-30 23:07,英語,一学期,Unit1 誕生日・月・序数,10,1,
2026-03-31 02:07,算数,三学期,割合（%・歩合・3用法）,7,0,3用法の使い分けが混乱
2026-03-31 05:07,社会,三学期,自動車をつくる工業（工程・JIT）,1,1,
2026-03-31 06:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,12,0,謙譲語と尊敬語の区別が曖昧
2026-03-31 07:07,国語,二学期,大造じいさんとガン（物語）,1,0,情景描写の意味が取れない
2026-03-31 10:07,理科,一学期,植物の発芽と成長（対照実験）,5,0,対照実験の条件設定が不明確
2026-04-01 03:07,国語,三学期,敬語（尊敬語・謙譲語・丁寧語）,9,1,
2026-04-01 03:07,理科,三学期,電磁石の性質（コイル・極・強さ）,10,1,
2026-04-01 03:07,英語,三学期,Unit8 尊敬する人・将来の夢,9,1,
2026-04-01 09:07,英語,一学期,Unit1 誕生日・月・序数,6,1,
