科目,単元,問題文,解答,解説・採点基準
国語,漢字の成り立ち,「山」や「川」のように、物の形を点や線で描いて作られた漢字の分類を何といいますか。,象形文字,採点基準：具体的な物の形から生まれた文字である「象形文字」と正確に答えること。
国語,漢字の成り立ち,「上」や「下」のように、形のない事柄を点や線で表して作られた漢字の分類を何といいますか。,指事文字,採点基準：「指事文字」と正確に答えること。位置や数などの概念を記号化したものであることを理解しているかがポイントです。
国語,漢字の成り立ち,「木」を二つ合わせた「林」のように、既にある漢字を組み合わせて新しい意味を持たせた漢字を何といいますか。,会意文字,採点基準：「会意文字」と正確に答えること。「明」や「林」が代表例です。
国語,なまえつけてよ,物語「なまえつけてよ」の主要な登場人物である、春花と勇太の二人の関係性について、物語の序盤での状況を書きなさい。,子馬に名前をつけたいという共通の思いを持つが、少し距離がある関係。,採点基準：「春花」「勇太」の名前を含み、共通の関心事（子馬）と微妙な距離感に触れていれば正解。
国語,なまえつけてよ,春花が勇太に対して抱いた「自分と同じように、勇太も子馬を大切に思っている」という気づきを、筆者の朽木祥はどのような場面で表現していますか。,勇太が子馬につけたい名前を知った場面（名前をつけようと声を掛け合った場面）,採点基準：場面の特定ができていれば正解。二人の心情が重なる瞬間を読み取ることが重要。
国語,見立てる / 言葉の意味が分かること,筆者の甲斐睦朗は、「見立て」という概念を日本の文化の中でどのように説明していますか。,あるものを別のものとして扱う（見なす）こと,採点基準：「別のものとして扱う」「見なす」というキーワードが必須。あやとりの例などを想起させる解説。
国語,見立てる / 言葉の意味が分かること,今井むつみ「言葉の意味が分かること」において、言葉の概念を広げるために重要だとされていることは何ですか。,言葉と現実の事物や経験を結びつけて理解を深めること,採点基準：「経験」や「結びつける」という内容が含まれていれば正解。
国語,古典の世界（枕草子・竹取物語）,『枕草子』の冒頭「春はあけぼの」に続く一節で、山ぎわがだんだん白くなっていく様子を表現した言葉を書きなさい。,やうやう白くなりゆく山ぎは,採点基準：原文の表現（やうやう、白くなりゆく）を正確に書けていれば正解。作者・清少納言の感性を問う問題。
国語,古典の世界（枕草子・竹取物語）,日本で最も古いとされる物語で、竹の中から見つかったかぐや姫が登場する作品のタイトルを答えなさい。,竹取物語,採点基準：書名「竹取物語」を正確に答えること。
国語,大造じいさんとガン,光村図書版の作者（著者）として記載されている人物の名前と、群れのリーダーであるガンの名前を答えなさい。,椎名誠、残雪,採点基準：著者の「椎名誠」とガンの「残雪」の両方が正解で満点。※ソースコンテクストの表記に準拠。
国語,大造じいさんとガン,大造じいさんが、宿敵であるはずの残雪に対して抱いた「ただの鳥ではない」という心情の変化を何と呼びますか。,敬意（尊敬の念）,採点基準：「敬意」「尊敬」などの言葉が含まれていること。単なる狩猟対象から対等なライバルへと見方が変わる点が重要。
国語,固有種が教えてくれること,今泉忠明が述べている、日本の固有種を守ることが重要である理由について、「多様性」という言葉を用いて説明しなさい。,生物の多様性を守ることは、地球全体の環境を維持するために不可欠だから。,採点基準：「多様性」という言葉を使い、それが地球環境や生態系の維持に繋がる旨が書けていれば正解。
国語,固有種が教えてくれること,「固有種」という言葉の意味を説明しなさい。,その地域や国にしか生息していない、独自の生物種のこと。,採点基準：「その地域にしかいない」という限定の意味が含まれていること。
国語,方言と共通語,地域によって使われる独特な言葉である「方言」に対し、公の場や教育などで広く使われる標準的な言葉を何といいますか。,共通語,採点基準：「共通語」と正確に答えること。標準語という回答も許容。
国語,方言と共通語,方言を使うことの良さについて、筆者が述べている豊かな側面を一つ答えなさい。,地域の文化や人々の親しみやすさが込められている点。,採点基準：「文化」「親しみ」「温かさ」などのキーワードがあれば正解。
算数,体積,縦6cm、横10cm、高さ5cmの直方体の体積を求めなさい。,300cm?,採点基準：6×10×5=300。式と単位（cm?）が正しければ満点。
算数,体積,1m?（立方メートル）は、何cm?（立方センチメートル）ですか。数字で答えなさい。,"1,000,000cm?","採点基準：1,000,000（0が6個）と正確に答えること。単位換算の基本（100×100×100）を理解しているか。"
算数,小数のかけ算・わり算,3.6 ÷ 0.8 を計算し、余りがある場合は余りも答えなさい。,4 あまり 0.4,採点基準：商が4、余りが0.4。余りの小数点の位置を間違えていないことが必須条件。
算数,整数の性質,1とその数自身の他に約数がない整数を「素数」といいます。1から20までの整数に含まれる素数をすべて書きなさい。,"2, 3, 5, 7, 11, 13, 17, 19",採点基準：全8個を過不足なく答えること。1が含まれていたり、9や15が含まれている場合は減点。
算数,平均,"5人の児童の体重が「35kg, 38kg, 42kg, 40kg, 35kg」でした。5人の平均体重を求めなさい。",38kg,採点基準：(35+38+42+40+35)÷5 = 190÷5 = 38。式が正しければ部分点あり。
算数,割合,もとにする量を50、比べる量を15としたとき、割合を百分率（％）で答えなさい。,30%,採点基準：15÷50=0.3、0.3×100=30%。割合の定義と百分率への換算が正しければ正解。
算数,円周と円の面積,半径5cmの円の面積を求めなさい（円周率は3.14とする）。,78.5cm?,採点基準：半径×半径×3.14（5×5×3.14）の式が正しく、計算が合っていれば正解。単位cm?にも注意。
算数,円周と円の面積,直径10cmの円の円周を求めなさい（円周率は3.14とする）。,31.4cm,採点基準：直径×3.14（10×3.14）の式を適用すること。
算数,速さ,時速72kmで走る自動車の分速（1分間に進む距離）を求めなさい。,分速1.2km（または分速1200m）,採点基準：72÷60の計算。単位換算（時間から分）の概念が正しく適用されていること。
理科,天気の変化,日本の天気は通常、どの方角からどの方角へと変化していきますか。,西から東,採点基準：気象変化の規則性である「西から東」を正しく答えること。
理科,植物の発芽と成長,植物が「発芽」するために必要な3つの条件をすべて書きなさい。,水、空気、適当な温度,採点基準：3条件すべて正解で満点。日光や肥料は「成長」の条件であり、発芽には不要であることを理解しているか。
理科,メダカのたんじょう,メダカのオスを見分ける際、背びれとしりびれにはどのような特徴がありますか。,背びれに切れ込みがあり、しりびれが平行四辺形で大きい。,採点基準：「背びれの切れ込み」と「しりびれ（形や大きさ）」の記述があれば正解。
理科,人のたんじょう,子宮の中で胎児を包んでいる「羊水（ようすい）」には、どのような役割がありますか。,胎児を衝撃から守る役割（または体温を保つ役割）。,採点基準：「衝撃から守る」「守る」というキーワードが必須。
理科,人のたんじょう,胎児が母親の体から養分や酸素をもらい、いらなくなったものを出すために「胎盤」とつながっている管を何といいますか。,へそのお,採点基準：「へそのお」と正確に答えること。胎盤の役割との区別ができているか。
